,ASIN,product_type,title,rating,review_count
143,B0026PTO7M,keyboard,"ProHT Foldable USB Wired Keyboard (70140), 109 Keys Silicone Soft Waterproof Keyboard for PC Notebook Laptop, Black",3.7,107
144,B00280E074,processor,Laptop Charger for HP Probook EliteBook Revolve Business: 250 450 455 640 645 650 745 820 840 850 G1 G2 G3 G4 G5 G6 463958-001 609939-001 PA-1650-02HC PA-1900-18H2 741727-001 USA UL Listed 2Y Warranty,4.5,141
145,B0029VLLQU,mouse,NFL Oakland Raiders Neoprene Mouse Pad,4.5,127
146,B002CQU14A,processor,"Noctua NT-H1 3.5g, Pro-Grade Thermal Compound Paste (3.5g)",4.8,3982
147,B002DQJ7N0,keyboard,Korean Keyboard Stickers Transparent Background White Lettering for Laptops Pc Any Computer Desktop,4.0,216
148,B002E6R7NG,dslr camera,"Pelican 1650 Camera Case With Foam, Black",4.8,410
149,B002FXQ9UA,keyboard,English US Large Letters Keyboard Stickers Non Transparent White Background (Upper Case),4.4,132
150,B002FYL7PG,mouse,V7 Standard Full size 3 Button USB Optical Mouse with Scroll Wheel for Desktop and Notebooks (M30P10-7N) - Black,4.1,408
151,B002GH37YG,mouse,Microsoft Wireless Mobile Mouse 4000,4.2,1444
152,B002HWRJBM,mouse,Logitech Performance MX Wireless Mouse (DISCONTINUED and Replaced by MX Master 2S),4.0,5796
153,B002ISXBFI,dslr camera,Case Logic SLRC-205 SLR Camera Sling (Black),4.3,1740
154,B002IUQ180,dslr camera,"OP/TECH USA Dual Harness 3/8"" Regular - Two-Camera Harness",4.5,230
155,B002JB07D8,dslr camera,Pelican Storm iM2975 Case No Foam (Black),4.7,70
156,B002JCSV6M,dslr camera,Nikon D300S 12.3MP DX-Format CMOS Digital SLR Camera with 3.0-Inch LCD (Body Only) (Discontinued by Manufacturer),4.3,183
157,B002LB42NM,keyboard,Azend Group W-9868BL USB Backlit Blue LED Multimedia Keyboard (Piano Black),3.8,370
158,B002NEGTTW,dslr camera,Canon EOS 7D 18 MP CMOS Digital SLR Camera Body Only (discontinued by manufacturer),4.5,720
159,B002NU5O74,mouse,"Targus Compact Mouse with Blue Trace Technology for Tracking and Retractable 2.5-Foot USB Cord, Adjustable Cord Mouse Supports Windows, Mac, and Netbooks, Black/Gray (AMU75US)",3.9,340
160,B002O0L0GC,mouse,Gyration Air Mouse Elite (GYM5600NA),3.6,84
161,B002ORDWES,keyboard,"Kensington K64407US Pro Fit USB Washable Keyboard with Anti-microbial Protection, Black",4.0,146
162,B002P3KY7E,dslr camera,Lowepro Adventura 140 Camera Shoulder Bag for DSLR or Camcorder,4.3,1369
163,B002PDH1EI,keyboard,ARABIC KEYBOARD STICKERS TRANSPARENT WHITE LETTERING FOR ALL PC DESKTOP COMPUTER LAPTOP,4.1,179
164,B002PDJMEK,keyboard,Online-Welcome Arabic Keyboard Stickers Transparent Yellow Letters for Any Laptop Computer PC Desktop Notebook,4.2,122
165,B002PHF1B4,keyboard,Arabic-English Non Transparent Black Background Keyboard Computer Stickers,4.3,92
166,B002RSJF1S,dslr camera,"Aquashot Underwater Digital Camera, 26690-RITE - Assorted",2.6,102
167,B002RWJGI6,processor,Thermaltake 7-bladed 92mm 4-Pins PWM Aluminum Extrusion CPU Cooling Fan for Intel Core i7/i5/i3 CLP0556-B,4.2,963
168,B002TO9LZA,mouse,NFL Denver Broncos Neoprene Mouse Pad,4.3,68
169,B002VKMO0G,keyboard,Black LED Lighted Keyboard W-9868BK USB,4.0,431
170,B002VKVZ1A,processor,"Noctua NH-D14, Premium CPU Cooler with Dual NF-P14 PWM and NF-P12 PWM Fans (Brown)",4.7,1445
171,B002VPE1WK,dslr camera,"AmazonBasics Backpack for SLR/DSLR Camera and Accessories - 11 x 6 x 15 Inches, Black",4.5,17759
172,B002XJAYU2,mouse,Siskiyou NCAA Neoprene Mouse Pad,4.6,289
173,B002XJK0O2,mouse,NFL New York Giants Neoprene Mouse Pad,4.3,79
174,B002XNJGRA,keyboard,Cubeternet Portable Slim USB Mini Numeric KeyPad Number Keyboard,2.9,124
175,B002ZIN9DU,mouse,"Kensington Mouse-in-a-Box Wired USB Mouse (K72356US),Black",4.4,1718
176,B0030GGS3O,dslr camera,Pentax 100mm f/2.8 WR D FA smc Macro Lens for Pentax Digital SLR Cameras,4.7,175
